OR,2.5%,97.5%,QUANTILE
0,0,0,1
1.82575152873981,1.39440734848009,2.39542457771085,2
2.44768197420901,1.86906254762536,3.2145199340216,3
4.20067538916096,3.17916118455931,5.57500642080725,4
