OR,2.5%,97.5%,QUANTILE
0,0,0,1
1.67275493636275,1.28430789421027,2.182188908718,2
2.23431922378832,1.71445831543147,2.91872692958965,3
2.75701544916031,2.11097579996545,3.6113901730535,4
