OR,2.5%,97.5%,QUANTILE
0,0,0,1
1.68670484701937,1.28902270653635,2.21110813168755,2
2.40150663107516,1.83228801046563,3.1565364869373,3
5.02258052643645,3.78902414019658,6.69155391906467,4
