OR,2.5%,97.5%,QUANTILE
0,0,0,1
1.30563367947744,1.00493404311713,1.69756479636604,2
1.50485630623594,1.15786653462824,1.95812174446096,3
2.15250191862012,1.65284077236619,2.80928641859724,4
