OR,2.5%,97.5%,QUANTILE
0,0,0,1
1.69849407819896,1.29877301783365,2.22534046321413,2
2.40285482540528,1.83369110332958,3.15764747253518,3
5.04003384669458,3.80428387253654,6.71109579194189,4
