OR,2.5%,97.5%,QUANTILE
0,0,0,1
1.66792172894497,1.2810105627145,2.17516968439154,2
2.24486457755319,1.7231732818833,2.93150265996653,3
2.76256740879301,2.11591551748177,3.61751059263024,4
