OR,2.5%,97.5%,QUANTILE
0,0,0,1
1.29858914367318,0.998994088502919,1.68924049447946,2
1.49690053611854,1.15132331305702,1.94842285354909,3
2.13672953964418,1.63990903014662,2.790028391944,4
